,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
1,1343703160011907073,1343703160011907073,2020-12-29,07:39:32,90597912,poortan,poor tan,,Addressing concerns may persuade more people to get COVID-19 vaccination: Experts  https://t.co/V2fw1Y2s35 the vaccine starts from the members of the Parliament House to show confidence to other..take the challenge!,en,[],['https://www.channelnewsasia.com/news/singapore/singapore-covid19-vaccination-voluntary-pfizer-biontech-13836658#.X-psTBUbnzM.twitter..let'],[],0,0,0,[],https://twitter.com/poortan/status/1343703160011907073,0,[],"['address', 'concern', 'may', 'persuad', 'peopl', 'get', 'vaccin', 'expert', 'vaccin', 'start', 'member', 'parliament', 'hous', 'show', 'confid', 'take', 'challeng']",Addressing concerns may persuade more people to get COVID-19 vaccination: Experts  https://t.co/V2fw1Y2s35 the vaccine starts from the members of the Parliament House to show confidence to other..take the challenge!
2,1343393559697715200,1343320992060481539,2020-12-28,11:09:18,264321306,dam_in_sin,Damian Konstantinakos,,@grierjason @KarenD92012020 @bsmittylondon @kinsellawarren Singapore hasn't had a community case in weeks. Their vaccination pace is going to likely double or triple Canada's. Comparing the 2 only reminds us how poor Canada's response has been,en,[],[],[],2,0,3,[],https://twitter.com/Dam_in_Sin/status/1343393559697715200,0,"[{'screen_name': 'grierjason', 'name': 'Jason Grier', 'id': '244243957'}, {'screen_name': 'KarenD92012020', 'name': 'KarenD', 'id': '1127734871575625728'}, {'screen_name': 'bsmittylondon', 'name': 'Brian Smith', 'id': '2260694359'}, {'screen_name': 'kinsellawarren', 'name': 'Warren Kinsella', 'id': '16106522'}]","['singapor', 'commun', 'case', 'week', 'vaccin', 'pace', 'go', 'like', 'doubl', 'tripl', 'canada', 'compar', 'remind', 'us', 'poor', 'canada', 'respons']",@grierjason @KarenD92012020 @bsmittylondon @kinsellawarren Singapore hasn't had a community case in weeks. Their vaccination pace is going to likely double or triple Canada's. Comparing the 2 only reminds us how poor Canada's response has been
3,1343071503756234752,1343071503756234752,2020-12-27,13:49:34,65835903,_danamic,Danish Lukawski,"{'type': 'Point', 'coordinates': [1.34674099, 103.94394398]}","“Yes, I’ll prefer the vet’s recommended XL food portions, in exchange for the vaccination you put me through.” #calithecat @ The Animal Ark  https://t.co/jg7mEwxe2v",en,[],['https://www.instagram.com/p/CJSkEiplnKf/?igshid=1k2u84t2lmt2t'],[],0,0,0,['calithecat'],https://twitter.com/_DANamic/status/1343071503756234752,0,[],"['ye', 'prefer', 'vet', 'recommend', 'xl', 'food', 'portion', 'exchang', 'vaccin', 'put', 'anim', 'ark']","“Yes, I’ll prefer the vet’s recommended XL food portions, in exchange for the vaccination you put me through.” #calithecat @ The Animal Ark  https://t.co/jg7mEwxe2v"
4,1343066167762583559,1343066167762583559,2020-12-27,13:28:22,1014729192498294785,sheridanperkin5,Sheridan Perkins,,"The next several months will be a period of great inequality. Frontline service workers will struggle on without a vaccination, while the rich move right to the front of the queue. I’m sure many have already had their vaccinations, regardless of age or health. Makes me sick.",en,[],[],[],0,0,4,[],https://twitter.com/SheridanPerkin5/status/1343066167762583559,0,[],"['next', 'sever', 'month', 'period', 'great', 'inequ', 'frontlin', 'servic', 'worker', 'struggl', 'without', 'vaccin', 'rich', 'move', 'right', 'front', 'queue', 'sure', 'mani', 'alreadi', 'vaccin', 'regardless', 'age', 'health', 'make', 'sick']","The next several months will be a period of great inequality. Frontline service workers will struggle on without a vaccination, while the rich move right to the front of the queue. I’m sure many have already had their vaccinations, regardless of age or health. Makes me sick."
5,1341982713318957056,1341982713318957056,2020-12-24,13:43:06,313825216,scorpioaqumarin,Millie Yang,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}",Today just a common flu vaccination for the whole family. Next year maybe a jab for coronavirus. @ Singapore  https://t.co/2jvNHe4Huy,en,[],['https://www.instagram.com/p/CJK08O_jhnT/?igshid=17kgriqe4t93i'],[],0,0,1,[],https://twitter.com/ScorpioAqumarin/status/1341982713318957056,0,[],"['today', 'common', 'flu', 'vaccin', 'whole', 'famili', 'next', 'year', 'mayb', 'jab', 'coronaviru', 'singapor']",Today just a common flu vaccination for the whole family. Next year maybe a jab for coronavirus. @ Singapore  https://t.co/2jvNHe4Huy
6,1341147711827951616,1341147711827951616,2020-12-22,06:25:06,3226760870,durganad_,ᴅᴜʀɢᴀ ɴᴀᴅᴀʀᴀᴊᴀɴ ✨,,I don’t know why am I feeling scared to take the covid 19 vaccination,en,[],[],[],1,0,2,[],https://twitter.com/durganad_/status/1341147711827951616,0,[],"['know', 'feel', 'scare', 'take', 'covid', 'vaccin']",I don’t know why am I feeling scared to take the covid 19 vaccination
7,1340530760445382656,1340373616064655366,2020-12-20,13:33:33,546685657,happypflf,PearlF,,@RexChapman Singapore goverment is also offering free vaccination against Covid to all its citizens and permanent residents as well.,en,[],[],[],0,0,0,[],https://twitter.com/HappyPFLF/status/1340530760445382656,0,"[{'screen_name': 'RexChapman', 'name': 'Rex Chapman🏇🏼', 'id': '324703658'}]","['singapor', 'gover', 'also', 'offer', 'free', 'vaccin', 'covid', 'citizen', 'perman', 'resid', 'well']",@RexChapman Singapore goverment is also offering free vaccination against Covid to all its citizens and permanent residents as well.
8,1340238784210690053,1340238784210690053,2020-12-19,18:13:21,19684195,utxo__,At the equator,,Oh great. Now with the live death toll clocks everywhere I can monitor each successfully administered vaccination. These people are certified crazy and want you scared.,en,[],[],[],0,0,0,[],https://twitter.com/utxo__/status/1340238784210690053,0,[],"['oh', 'great', 'live', 'death', 'toll', 'clock', 'everywher', 'monitor', 'success', 'administ', 'vaccin', 'peopl', 'certifi', 'crazi', 'want', 'scare']",Oh great. Now with the live death toll clocks everywhere I can monitor each successfully administered vaccination. These people are certified crazy and want you scared.
10,1338540259525586944,1338540259525586944,2020-12-15,01:44:01,16006707,homiliai,Jules Yim｜ 芊文,,"For Singapore, requiring a certificate of vaccination before travelling would be the best way to weed out anti-vaxxers. Nothing quite like being stuck on an island with no escape if you don’t vaccinate 🤣",en,[],[],[],1,0,10,[],https://twitter.com/homiliai/status/1338540259525586944,0,[],"['singapor', 'requir', 'certif', 'vaccin', 'travel', 'would', 'best', 'way', 'weed', 'noth', 'quit', 'like', 'stuck', 'island', 'escap', 'vaccin']","For Singapore, requiring a certificate of vaccination before travelling would be the best way to weed out anti-vaxxers. Nothing quite like being stuck on an island with no escape if you don’t vaccinate :rolling_on_the_floor_laughing:"
11,1338428874946793477,1338428874946793477,2020-12-14,18:21:25,37427212,phatfreemiguel,Miguel Bernas,,. @sporeMOH Will Long Term Visitor Pass holders be eligible for the COVID-19 vaccination?,en,"[{'screen_name': 'sporemoh', 'name': 'ministry of health', 'id': '78772642'}]",[],[],0,0,0,[],https://twitter.com/phatfreemiguel/status/1338428874946793477,0,[],"['long', 'term', 'visitor', 'pass', 'holder', 'elig', 'vaccin']",. @sporeMOH Will Long Term Visitor Pass holders be eligible for the COVID-19 vaccination?
