post_id,,username,date_time,comments_raw,
101581434,20147900,Cayden Chang,Mar-05,Coffeeshops selling beers are already doing this. Whatâ€™s new? ,
101581434,20147900,JiaYi Lim,Mar-06,"At the bars and bistros, customers are also seen intermingling between tables. Don't sabo the bars and bistros lah.",
101581434,20147900,Kelvin Ong,Mar-06,Everywhere also have hostess in the city area...,
101581434,20147900,Tung Kum,Mar-05,There are so many pub having hostesses.,
101581434,20147900,Nashyea Myrkus,Mar-05,Hmm..sch restrictions  also make one reluctant 2 7ra\/3l? For me yes..not sure for others ..,
101581434,20147900,Daniel Liew,Mar-05,Why allowed clubs to operate at the 1st place then?,
101581434,20147900,Kyoto Hanseyo,Mar-05,In layman terms....No butterfly allowed...so tips mist give more,
101581434,20147900,Hongsoo Wee,Mar-05,Is the hostess send back to their respective country?,
101581434,20147900,Willie Wonka,Yesterday at 11:04 AM,Ban beer girls at coffeshops also.,
101581433,56832900,Kelvin Mani,Mar-06,National Environment Agency (NEA) CNA   So is it only encouraged but not a must for max 2 people per house with same address in NRIC? Will get fined if 3 from same house go ?,
101581433,56832900,Charlene Pink,Mar-05,Cna it encourages not compulsory it is very misleading if I may ,
101581433,56832900,Sally Tsai,Mar-06,"National Environment Agency (NEA) CCK columbarium need to book appointment? If yes, where to book? All the news and link published is only for Mandai..",
101581433,56832900,Moan Zul,Mar-06,"why don't maybe for the time being, we put on hold such events that may not be easy to regulate and police.",
101581433,56832900,Kyle Quasia,Mar-05,wonder the living book the appt with the dead or the dead book the appt with the living.....,
101581433,56832900,Jillian Tan,Mar-05,Neo Aik Chiow,
101581433,56832900,Jansen Ong,Mar-06,Aiyo. Means maximum 8pax lah.,
101581433,56832900,Linda Lee,Mar-06,Gavin KwokShirley LeeMichael Yeo,
101581433,56832900,Darren Pachai,Mar-06,How to declare? NRIC? ,
101581433,56832900,Eugene Chan,Mar-06,Covid-19 hahaha don't come disturb us...,
101581433,56832900,Malz S Subramaniam,Mar-05,At least the festival being observed this year,
101581433,56832900,Song Wei Jun,Mar-06,Lily Song,
101581433,56832900,æŽå—£ç€…,Mar-06,Derrick Chin Fiona Leung Reena Tan Aaron Lee ,
101581433,56832900,Ohmela Ohmela,Mar-05,Seriously government..... treat us like kids isit,
101581433,56832900,KT Chong,Mar-06,The dead must use the â€œSafe Entryâ€ first before they can come up to the ground,
101581433,56832900,Top FanHua Tan,Mar-06,The dead need to boom appointment?,
101581373,9762900,Collin Teo Jun Kai,Mar-02,Ian Cheng dude does he live at ur place ,
101581373,9762900,Lik Ren Tian,Mar-02,"Mediacorp artiste Terence Cao æ›¹å›½è¾‰ allowed 12 visitors to enter his home for a birthday party, exceeding the 5-person limit during Phase 2 of Singapore's reopening. Despite knowing that doing so would make their group size illegal, he still invite people come for gathering in his home. If convicted under Covid-19 laws, Cao and Lim could be jailed up to six months or fined up to S$10,000, or both.",
101581373,9762900,Rizwan Wan,Mar-02,"Well, once caught. It's a different story. But normally, it's a fine. Very rare, ur citizenship is affected.",
101581373,9762900,Sebastian Goh Kah Huei,Mar-02,"Now not much job for local artist and celebrities already, please be nice and empathy on them. Life is not easy. Pls sentence him to jail and provide him with nice food and not more than 8 people in the same cell as him pls. He had already learn his lesson....pls let it go. Thks all!",
101581373,9762900,Desmond Loh Sam Loong,Mar-02,That was the last happy birthday  photo they will ever take together again for a long time.,
101581373,9762900,Teo Jack,Mar-02,Over 50 years old should have wisdom to lead the youth instead corrupting with them. Childish and sick.,
101581373,9762900,Phee Lampang,Mar-02,Not the 1st time he runs in with the law? Look like a bodyguard of the lawyer ðŸ¤¦ðŸ»,
101581373,9762900,Beatrice Teo,Mar-02,Punish Singaporeans who breach the law so that our neighbors can continue laughing at Singaporeans!,
101581373,9762900,Marvin Chew,Mar-02,wah he think he is shooting movie. so fashion,
101581373,9762900,Ed Wong,Mar-03,"Why can't these so called ""stars"" accept their offence and plead guilty and be the good examples, hiring lawyers to defend themselves is just plain foolish!",
101581373,9762900,Ray Yeo,Mar-02,I have said many time the sentences are a joke. It happens over n over again. Set an example jail the leader 1 year the rest 6 months  You will not see such thing happening,
101581373,9762900,Yao Kang Ho,Mar-02,He wear like he think Paris fashion runway ,
101581373,9762900,Franky Lim,Mar-02,Can afford good lawyers. Should fine higher the S$3000/-. Foreigners and PRs already fined S$300/-.,
101581373,9762900,Top FanJoanne JoJo,Mar-02,"If kena jail, is he going to see his mee siam in jail too?",
101581373,9762900,Jenny Lee,Mar-02,"Very good so no one is privileged!! So what if you are artiste, they should be punished too! All the visitors should be punished not only him! ",
