,Unnamed: 0,Threads,Thread Datetime,Comments,Comment Datetime,num_words
75,86,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"Let's take a look at some findings on what determines an import or a community case. Confirmed on 12th Jan Quote: b) Cases residing in dormitories: 1 There is 1 case residing in a dormitory who is currently unlinked. Case 59243 is a Work Permit holder who arrived from India on 11 December 2020, and served SHN at a dedicated facility until 25 December. His swab done on 21 December during SHN was negative for COVID-19. He resides at Seatown Dormitory and started work in the construction sector on 6 January 2021. He tested negative again for COVID-19 on 27 December. However a subsequent test taken on 12 January as part of Rostered Routine Testing (RRT) came back positive for COVID-19 infection. His serological test result is positive . No of days from arrival till tested positive (11/12/2020 - 12/1/2021): 33 days (Community) Confirmed on 5th Jan Quote: Case 59034 Case 59034 is a 31 year-old male Filipino who arrived from the Philippines on 4 December, and served SHN at a dedicated facility until 18 December. His pre-departure test taken in the Philippines on 1 December was negative for COVID-19 infection, and his test on 14 December during SHN came back negative as well. He is a Work Permit holder who is employed by Singapore General Hospital (SGH), but has not started work yet. As part of his pre-employment health screening, he was tested for COVID-19 on 5 January even though he is asymptomatic, and his test came back positive. He was subsequently conveyed to SGH in an ambulance. His serological test result has come back positive, which indicates a likely past infection. Epidemiological investigations are ongoing. In the meantime, all the identified close contacts of the cases, including their family members and co-workers, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them No of days from arrival till tested positive (4/12/2020 - 5/1/2021): 33 days (Community) Confirmed on 4th Jan Quote: Case 58981 Case 58981, a 49 year-old male Indian national, is a Short-Term Visit Pass holder who is here to visit his Singaporean spouse. He arrived from India on 10 December 2020, and served SHN at a dedicated facility until 24 December. His pre-departure test taken in India on 6 December was negative for COVID-19 infection, and his test on 21 December during SHN came back negative as well. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 3 January in preparation for his return to India. His result came back positive for COVID-19 infection the next day and he was conveyed to Mount Elizabeth Hospital. His serological test result has come back positive, which indicates a likely past infection . No of days from arrival till tested positive (10/12/2020 - 4/1/2021): 26 days (Community) Confirmed on 24th Jan Quote: Case 59629 is a 19 year-old female Singaporean who returned from the UK on 6 December and served SHN at a dedicated facility until 20 December. Her swab done on 16 December during SHN was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 23 January in preparation for her return to the UK. Her test result came back positive the next day, and she was conveyed to the National Centre for Infectious Diseases. Her Ct value was very high, which is indicative of a low viral load, and her serology test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported based on her travel history. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (6/12/2020 - 24/1/2021): 50 days (Import) Confirmed on 27th Jan Quote: Case 59703 is a Work Pass holder who works as a software engineer at Pacific International Lines Pte Ltd. He arrived from India on 27 December 2020 and served SHN at a dedicated facility until 10 January 2021. His swab done on 7 January during SHN was negative for COVID-19. He subsequently worked from home from 11 January to 21 January. He developed nausea on 25 January, and sought medical treatment at a general practitioner clinic on 26 January. As he also reported intermittent cough and a sore throat, he was tested for COVID-19 and his test came back positive on 27 January. He has also tested preliminarily positive for the B117 strain. His serological test result has come back positive, which indicates a likely past infection . Given their recent travel history, we have classified both cases as imported . No of days from arrival till tested positive (27/12/2020 - 27/1/2021): 32 days (Import) Confirmed on 30th Jan Quote: Case 59825 is a 36 year-old male Singapore Permanent Resident who returned from a trip to India on 19 December 2020 and served SHN at a dedicated facility until 2 January 2021. His swab done on 31 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 29 January in preparation for another trip to India. His test result came back positive the next day, and he was conveyed to the National Centre for Infectious Diseases. His Ct value was very high, which is indicative of a low viral load, and his serology test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported based on his travel history. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (19/12/2020 - 30/1/2021): 43 days (Import) Confirmed on 3rd Feb Quote: Case 59935 is a 35 year-old female Indian national who is a Long-Term Visit Pass holder. She travelled to India from 30 November 2020 and returned to Singapore on 6 January 2021. Her pre-departure test taken in India on 4 January before her flight was negative for COVID-19. Upon her return, she served SHN at a dedicated facility until 20 January. Her swab done on 17 January during SHN was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 2 February in preparation for another trip to India. Her test result came back positive the next day, and she was conveyed to KK Women\u2019s and Children\u2019s Hospital in an ambulance. We have classified this case as locally transmitted while her serology test result is pending. Should her serology test come back positive, and epidemiological investigations assess that this is a past infection, we will reclassify this as an imported case. In the meantime, all the identified close contacts of the case, including her family members, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them. Update on Case 59935: The serology test result for Case 59935, who was reported as a local unlinked case yesterday, has come back positive , indicating a likely past infection. Given her serology status and recent travel history to India from 30 November 2020 to 6 January 2021, we have re-classified this case as imported. No of days from arrival till tested positive (6/1/2020 - 3/2/2021): 29 days (Import) Confirmed on 3rd Feb Quote: b) Cases residing in dormitories: 1 There is 1 case residing in a dormitory today. Case 59966, a 31 year-old male Bangladesh national, is a Work Pass holder who arrived in Singapore on 13 December 2020 , and served SHN at a dedicated facility until 27 December . His swab done on 23 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when his test taken on 4 February as part of Rostered Routine Testing (RRT) came back positive for COVID-19 infection. His earlier test from RRT on 13 January was negative for COVID-19. His serology test has come back positive, but given the relatively long time interval between his travel and positive COVID-19 test, we have classified this case as locally transmitted. He has not started work since arriving in Singapore, and stays at a dormitory located at 1 Soon Lee Stree No of days from arrival to Singapore till tested positive (13/12 - 5/2) - 55 Days (Community) Confirmed on 5th FEB Quote: Case 59996 is a 12 year-old female Singapore Permanent Resident who returned from India on 26 December 2020 and served SHN at a dedicated facility upon arrival. While serving SHN, she had been identified as a close contact of Case 59103 [1], a family member who travelled with her, and was subsequently placed on quarantine until 9 January. Her swab done on 8 January 2021 during quarantine was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 4 February in preparation for her return to India. Her test result came back positive the next day, and she was conveyed to KKWomen\u2019s and Children\u2019s Hospital. No of days from arrival to Singapore till tested positive (26/12 - 5/2) - 42 Days (Import) Confirmed on 5th FEB Quote: Case 60013 is a 20 year-old male Singapore Permanent Resident who returned from the UK, where he is studying, on 29 November 2020 and served SHN at a dedicated facility until 13 December. His swab done on 9 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 4 February in preparation for his trip back to the UK. His test result came back positive the next day, and he was conveyed to the National Centre for Infectious Diseases (NCID). Both cases had very high Ct value, which is indicative of a low viral load, and their serology test results have also come back positive. Given that these indicate likely past infection , we have classified the cases as imported based on their travel history. They are likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival to Singapore till tested positive (29/11 - 5/2) - 69 Days (Import) Confirmed on 11th Feb Quote: Case 60162 is a Long-Term Visit Pass holder who arrived from Indonesia on 26 November 2020 and served SHN at a dedicated facility until 10 December. His swab done on 6 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 10 February 2021 in preparation for his return to Indonesia. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high , which is indicative of a low viral load. His serological test result has also come back positive . He reported that before his trip to Singapore, he had interacted with his sibling in Indonesia who was confirmed to have COVID-19 infection in October 2020 . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (26/11/2020 - 11/2/2021): 78 days (Import) Confirmed on 18th Feb Quote: Case 60316 is a Work Pass holder who arrived from India on 30 December 2020 and served SHN at a dedicated facility until 3 January 2021. As he had been identified as a close contact of Case 58944, he was subsequently placed on quarantine from 3 January to 13 January. His swabs done on 4 January and 10 January during quarantine were negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 17 February in preparation for his return to India. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high, which is indicative of a low viral load . Another sample taken on 18 February tested negative for COVID-19. His serological test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (30/12/2020 - 18/2/2021): 51 days (Import) Confirmed on 4th Mar Quote: Case 60666 is a 35 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19, as was her pre-departure test taken on 18 January while she was in Indonesia. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 4 March in preparation for her return to Indonesia. Her test result came back positive for COVID-19 infection, and she was conveyed to the National Centre for Infectious Diseases in an ambulance. Another test taken by the National Public Health Laboratory (NPHL) on 5 March came back negative for COVID-19 infection, and her serological test result has come back positive, which indicates a likely past infection. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure, including placing all her identified close contacts on quarantine No of days from arrival till tested positive (20/1/2021 - 4/3/2021): 44 days (Community) Confirmed on 5th Mar Quote: Case 60664, a 27 year-old female Indian national, is a Work Pass holder who has not started work yet. She arrived in Singapore on 8 February and served SHN at a dedicated facility until 22 February. Her test taken during SHN on 21 February was negative for COVID-19. As part of her pre-employment health screening, she was tested for COVID-19 on 4 March even though she is asymptomatic, and her test came back positive. Another test taken by NPHL on 5 March was negative for COVID-19 infection, and her serological test result has come back positive . She had also earlier tested positive for a COVID-19 antigen test in India on 18 November 2020. Given that these indicate likely past infection, we have classified the case as imported. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others No of days from arrival till tested positive (8/2/2021 - 5/3/2021): 26 days (Import) Confirmed on 9th Mar Quote: Case 60818 is a 37 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19. Her COVID-19 pre-departure test taken in Indonesia on 18 January was also negative.* She is asymptomatic, and was detected when she was tested on 9 March as part of MOH\u2019s investigation into Case 606661. As an added precaution, MOH tested all attendees of the Settling in Programme for foreign domestic workers on 4 February, which both Cases 60666 and 60818 attended, even though they were not close contacts. Her test result came back positive for COVID-19 infection on 9 March, and she was conveyed in an ambulance to the National Centre for Infectious Diseases. Her serological test result has come back positive, which indicates a likely past infection . However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure. No of days from arrival to Singapore till tested positive (20/01 - 9/3) - 49 Days (Community) Confirmed on 11th Mar Quote: Case 60831 is a 36 year-old male Indian national who is a Work Pass holder. He arrived from India on 16 January and served SHN at a dedicated facility until 30 January. His test taken on 29 January during SHN was negative for COVID-19. He works as an IT Engineer at Deutsche Bank but has been working from home since his arrival in Singapore. He developed a runny nose on 1 March and sought medical treatment at a General Practitioner clinic on the same day. As he declined to be tested for COVID-19, he was given 5 days of medical leave and advised to return for a test if he did not recover. He was subsequently detected on 11 March when he took a COVID-19 pre-departure test in preparation for his trip to India. His test result came back positive for COVID-19 infection on the same day, and he was conveyed to the National Centre for Infectious Diseases in an ambulance. His serological test result has come back positive, which indicates a likely past infection. Epidemiological investigations are ongoing. In the meantime, all the identified close contacts of the case, including his household contacts, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them. No of days from arrival till tested positive (16/1/2021 - 11/3/2021): 55 days (Community) So we have a case that 55 days is considered community but also up to 78 days is considered as import (despite having been in the community for 64 days after SHN has ended). All their serology test came back positive (regardless of community or imported) which indicates a likely past infection but we can see that high CT Value also indicates low viral load which determines it to be a past infection . However that was only tested on the day when they tested positive. Just curious, what were their CT Values if they were detected earlier say after SHN has ended instead of several days/months later on their pre-departure test. And how many days in Singapore till tested positive will they still consider it as import case if they have high CT value. 2-3 months? Half a year?",2021-07-02 00:38:00,2831
78,89,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"LionsTurf wrote: A lot of these cases had prior negatives, is their some phase of the virus in which your shedding a higher load of dead fragments but when asymptomatic with the live virus then the viral load is lower? If vaccinated with the dead virus version, you also will kena positive test? No idea, this compilation is meant to see how MOH determines what is community or imported. Earlier they classify those who have been out in the community after their SHN is over as community cases even after their serological test came back positive indicating past infection, but slowly changed them all to import case from 24th Jan onwards which is why we see 50-69 days in SG still considered imported. Oddly they classified the Bangla as community even though he haven't started work and have been in the dorms ever since his SHN ended with the reason that the time he tested positive and travelled is very long (55 days). But again you have today a new case where the PR has been in SG for 69 days and they still classify it as imported (even though he has really been in the community after SHN).",2021-07-02 00:53:00,194
80,91,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,better increase SHN for additional few more weeks...,2021-07-02 00:56:00,8
84,95,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"New case updated in 1st post Confirmed on 11th Feb Quote: Case 60162 is a Long-Term Visit Pass holder who arrived from Indonesia on 26 November 2020 and served SHN at a dedicated facility until 10 December. His swab done on 6 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 10 February 2021 in preparation for his return to Indonesia. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high , which is indicative of a low viral load. His serological test result has also come back positive . He reported that before his trip to Singapore, he had interacted with his sibling in Indonesia who was confirmed to have COVID-19 infection in October 2020 . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (26/11/2020 - 11/2/2021): 78 days (Import)",2021-12-02 23:47:00,168
85,96,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"New case added today updated in 1st post Confirmed on 18th Feb Quote: Case 60316 is a Work Pass holder who arrived from India on 30 December 2020 and served SHN at a dedicated facility until 3 January 2021. As he had been identified as a close contact of Case 58944, he was subsequently placed on quarantine from 3 January to 13 January. His swabs done on 4 January and 10 January during quarantine were negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 17 February in preparation for his return to India. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high, which is indicative of a low viral load . Another sample taken on 18 February tested negative for COVID-19. His serological test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (30/12/2020 - 18/2/2021): 51 days (Import)",2021-02-19 23:19:00,177
88,99,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"New case added today updated in 1st post Confirmed on 4th Mar Quote: Case 60666 is a 35 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19, as was her pre-departure test taken on 18 January while she was in Indonesia. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 4 March in preparation for her return to Indonesia. Her test result came back positive for COVID-19 infection, and she was conveyed to the National Centre for Infectious Diseases in an ambulance. Another test taken by the National Public Health Laboratory (NPHL) on 5 March came back negative for COVID-19 infection, and her serological test result has come back positive, which indicates a likely past infection. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure, including placing all her identified close contacts on quarantine No of days from arrival till tested positive (20/1/2021 - 4/3/2021): 44 days (Community) Confirmed on 5th Mar Quote: Case 60664, a 27 year-old female Indian national, is a Work Pass holder who has not started work yet. She arrived in Singapore on 8 February and served SHN at a dedicated facility until 22 February. Her test taken during SHN on 21 February was negative for COVID-19. As part of her pre-employment health screening, she was tested for COVID-19 on 4 March even though she is asymptomatic, and her test came back positive. Another test taken by NPHL on 5 March was negative for COVID-19 infection, and her serological test result has come back positive . She had also earlier tested positive for a COVID-19 antigen test in India on 18 November 2020. Given that these indicate likely past infection, we have classified the case as imported. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others No of days from arrival till tested positive (8/2/2021 - 5/3/2021): 26 days (Import)",2021-06-03 23:41:00,354
89,100,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"New case added today updated in 1st post Confirmed on 9th Mar Quote: Case 60818 is a 37 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19. Her COVID-19 pre-departure test taken in Indonesia on 18 January was also negative.* She is asymptomatic, and was detected when she was tested on 9 March as part of MOH\x92s investigation into Case 606661. As an added precaution, MOH tested all attendees of the Settling in Programme for foreign domestic workers on 4 February, which both Cases 60666 and 60818 attended, even though they were not close contacts. Her test result came back positive for COVID-19 infection on 9 March, and she was conveyed in an ambulance to the National Centre for Infectious Diseases. Her serological test result has come back positive, which indicates a likely past infection . However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure. No of days from arrival to Singapore till tested positive (20/01 - 9/3) - 49 Days (Community)",2021-11-03 22:58:00,186
90,101,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"New case added today updated in 1st post Confirmed on 11th Mar Quote: Case 60831 is a 36 year-old male Indian national who is a Work Pass holder. He arrived from India on 16 January and served SHN at a dedicated facility until 30 January. His test taken on 29 January during SHN was negative for COVID-19. He works as an IT Engineer at Deutsche Bank but has been working from home since his arrival in Singapore. He developed a runny nose on 1 March and sought medical treatment at a General Practitioner clinic on the same day. As he declined to be tested for COVID-19, he was given 5 days of medical leave and advised to return for a test if he did not recover. He was subsequently detected on 11 March when he took a COVID-19 pre-departure test in preparation for his trip to India. His test result came back positive for COVID-19 infection on the same day, and he was conveyed to the National Centre for Infectious Diseases in an ambulance. His serological test result has come back positive, which indicates a likely past infection. Epidemiological investigations are ongoing. In the meantime, all the identified close contacts of the case, including his household contacts, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them. No of days from arrival till tested positive (16/1/2021 - 11/3/2021): 55 days (Community)",2021-12-03 23:09:00,253
309,348,"S'pore????        23       ???? Covid19 Cases ( 03-03-2021) (2 in community, 21 imported)",2021-04-03 12:46:00,"Damn sian, one of my kids' classmate also absent from school since monday.  Then now my kid also down with running nose/sore throat/high fever/aches all over + tiredness.  Just kena 5 day SHN, wife need to WFH as well and ""self shn"" due to coy policy. Hope it's not due to CNY.....  (actually we never even visited nobody, but can't say from other pax like my boy's classmates).  Not easy to spread in school, issue is that my parents made the mistake of last week letting the boys go to the playground and mix with other pax (maskless btw, chin diapers).....of which i also saw my boy's classmate (absent since mon) playing with him at the playground just outside the school. Hope everything goes well, elderly parents already booked covid vaccination slot. Die die want to take care of the sick kid. Super metal teeth. Also don't know where the kosong cases of confirmed influenza cases come from.  Is it just a direct function of diagnostic testing?   (btw there is also influenza test in the form of PCR, serology and of coz the good old viral culture)",2021-03-03 16:05:00,184
319,361,"S'pore????        23       ???? Covid19 Cases ( 03-03-2021) (2 in community, 21 imported)",2021-04-03 12:46:00,"WussRedXLi wrote: Damn sian, one of my kids' classmate also absent from school since monday.  Then now my kid also down with running nose/sore throat/high fever/aches all over + tiredness.  Just kena 5 day SHN, wife need to WFH as well and ""self shn"" due to coy policy. Hope it's not due to CNY.....  (actually we never even visited nobody, but can't say from other pax like my boy's classmates).  Not easy to spread in school, issue is that my parents made the mistake of last week letting the boys go to the playground and mix with other pax (maskless btw, chin diapers).....of which i also saw my boy's classmate (absent since mon) playing with him at the playground just outside the school. Hope everything goes well, elderly parents already booked covid vaccination slot. Die die want to take care of the sick kid. Super metal teeth. Also don't know where the kosong cases of confirmed influenza cases come from.  Is it just a direct function of diagnostic testing?   (btw there is also influenza test in the form of PCR, serology and of coz the good old viral culture) Better separate your parents from your boy. Old people tio this virus may not simple with just running nose/cough",2021-03-03 16:21:00,206
